课程名称,授课教师,学校,学生人数
TIMME: Twitter Ideology-detection via Multi-task Multi-relational Embedding,肖之屏,加州大学洛杉矶分校,138 人
AI TIME PHD - AAAI 专场三,Unknown,Unknown,838 人
细粒度实体分类综述,金海龙,清华大学,70 人
AI TIME PHD AAAI专场七,Unknown,Unknown,675 人
神经机器翻译中的曝光偏差，幻觉翻译与跨域稳定性,王朝君,爱丁堡大学,210 人
基于学习排序的对话模型预训练策略,Unknown,Unknown,512 人
AI TIME PHD AAAI专场六,Unknown,Unknown,1880 人
WEB前端应用技术,伍红华,湖北理工学院,63 人
探究句法信息对于基于句法距离的语言模型影响,杜文宇,西湖大学,691 人
AI TIME PhD ICLR专场七,Unknown,Unknown,1031 人
多领域端到端任务型对话系统研究分享,覃立波,哈尔滨工业大学,357 人
轮式机器人入门,索毅,学堂在线,52 人
AI TIME PhD 哈工大HIT-SCIR实验室专场一,Unknown,Unknown,890 人
计算机二级Python语言程序设计,李挺,学堂在线,47 人
我的科研生涯：从博士到博导,Unknown,Unknown,199 人
AI TIME PhD：AI+行为经济学,Unknown,Unknown,154 人
AI TIME：随机梯度方法的学习理论,Unknown,Unknown,169 人
零基础入门旷视天元MegEngine,杨滔 刘清一 等,北京旷视科技有限公司,44 人
AI TIME PHD AAAI专场八,Unknown,Unknown,381 人
The 3rd TBSI Workshop on Learning Theory,Unknown,Unknown,1404 人
南开大学信息安全微专业（002期）,刘哲理 王志 等,南开大学,31 人
AI TIME PHD AAAI专场五,Unknown,Unknown,526 人
深度学习原理与PyTorch实战,张江,集智学园,22 人
多语言学习：如何从兴趣到科研？,Unknown,Unknown,128 人
AI TIME：深度推荐系统的探索与实践,Unknown,Unknown,204 人
基于元适应合成弱监督的少样本文档排序方法,Unknown,Unknown,125 人
AI TIME：复杂稀缺类分析,Unknown,Unknown,125 人
疾风计划2022【一年挑战计算机专业】,郑莉 李超 等,学堂在线,14 人
对话系统中的共情表达与情绪支持方法研究,Unknown,Unknown,93 人
AI TIME：无监督学习的公平性研究,Unknown,Unknown,117 人
AI TIME：KDD 2021 专场一,Unknown,Unknown,130 人
AI TIME:知识图谱的高效构建与工业应用,Unknown,Unknown,148 人
AI TIME PhD 北航ACT实验室专场一,Unknown,Unknown,223 人
康奈尔大学用户体验设计认证证书项目,Gilly Leshed,Cornell University,13 人
语义解析漫谈：机会与挑战,Unknown,Unknown,136 人
如何做好学术检索？,Unknown,Unknown,93 人
AI TIME 如何迈向知识驱动的人工智能 ？,Unknown,Unknown,60 人
面向人类和多智能策略的评估,Unknown,Unknown,54 人
"Identity, Agency, Equality and Security in the Age of AI",Hae Chin Moon,梨花女子大学,11 人
AI TIME PhD：浙江大学专场一,Unknown,Unknown,58 人
AI TIME：顶会也有这么多知识？,Unknown,Unknown,61 人
理解自监督学习知识蒸馏和二值化网络,Unknown,Unknown,139 人
AI TIME 走进深圳大学城,Unknown,Unknown,48 人
AI TIME PhD 北航ACT实验室专场二,Unknown,Unknown,39 人
AI TIME：顶会也有这么多知识？,Unknown,Unknown,109 人
图神经网络及其自监督学习,Unknown,Unknown,91 人
AI TIME：你的KDD小课堂,Unknown,Unknown,59 人
AI TIME PhD ICLR专场四,Unknown,Unknown,69 人
基于结构化知识与非结构化知识的任务型对话系统,Unknown,Unknown,81 人
AI TIME:KDD2021-4,Unknown,Unknown,83 人
AI TIME PhD：浙江大学专场二,Unknown,Unknown,62 人
基于神经网络模型的开放领域对话系统研究,Unknown,Unknown,47 人
AI TIME PhD Debate-7：因果推理的应用与发展,Unknown,Unknown,165 人
AI TIME:KDD2021-5,Unknown,Unknown,89 人
多模态学习的机遇与挑战,Unknown,Unknown,54 人
AI TIME:KDD2021-6,Unknown,Unknown,188 人
弱监督问答中缓解有害推理方案影响的模型训练算法研究,Unknown,Unknown,93 人
AI TIME PhD：清华CoAI小组,Unknown,Unknown,38 人
AI TIME PhD ICML 2021 专场二,Unknown,Unknown,90 人
AI TIME PhD：ACL 专场三,Unknown,Unknown,62 人
AI TIME：ICML 2021-5,Unknown,Unknown,92 人
非自回归文本生成模型及其在风格迁移上的应用,Unknown,Unknown,34 人
AI TIME PhD：ACL2021-1,Unknown,Unknown,115 人
AI TIME PhD ICML 2021 专场一,Unknown,Unknown,91 人
人脑VS机器？AI时代经济决策的机遇与挑战？,Unknown,Unknown,56 人
AI TIME PhD ICLR专场六,Unknown,Unknown,63 人
AI TIME CVPR 专场二,Unknown,Unknown,139 人
AI TIME PhD 华南理工实验室专场二,Unknown,Unknown,27 人
AI TIME CVPR 专场一,Unknown,Unknown,49 人
AI TIME：ICML科普,Unknown,Unknown,14 人
对比学习与多阶段模型框架在文本摘要任务中的应用,Unknown,Unknown,99 人
AI TIME PhD 华南理工实验室专场一,Unknown,Unknown,51 人
AI TIME PhD ICLR专场二,Unknown,Unknown,36 人
AI TIME：顶会知识唠唠嗑,Unknown,Unknown,95 人
AI TIME CVPR 专场三,Unknown,Unknown,45 人
AI TIME：ACL 2021专场四,Unknown,Unknown,41 人
开放端故事生成评价指标的评测基准及长文本生成的连贯性建模,Unknown,Unknown,41 人
AI TIME PhD ICLR专场一,Unknown,Unknown,25 人
AI TIME ACL 预讲会,Unknown,Unknown,38 人
AI TIME：KDD 2021-2,Unknown,Unknown,50 人
AI TIME：ICML 2021-4,Unknown,Unknown,53 人
AI TIME PhD ICLR专场三,Unknown,Unknown,36 人
基于语义生成概率的无监督常识问答方法,Unknown,Unknown,43 人
AI TIME:KDD2021-3,Unknown,Unknown,43 人
AI TIME：基于动态期限的电动共享汽车实时车队管理,Unknown,Unknown,40 人
AI TIME：ICML 2021-6,Unknown,Unknown,14 人
AI TIME：ICML 2021-3,Unknown,Unknown,32 人
AI TIME CVPR 专场五,Unknown,Unknown,40 人
AI TIME:KDD2021-7,Unknown,Unknown,51 人
AI TIME：迈向更快更好的图学习——图表示学习算法增强框架,Unknown,Unknown,1 人
