课程名称,授课教师,学校,学生人数
论道AI Open,Unknown,Unknown,319 人
基于神经网络建模的信息传播预测,杨成,清华大学,331 人
ICACHI 云论坛系列,任向实 付志勇 等,日本高知工科大学,649 人
国际超算赛事称霸指南,何家傲 陈晟祺,清华大学,305 人
Data Structures and Algorithms,王曙燕 王燕 等,西安邮电大学,303 人
EMNLP2020专场分享,李健铨 关健 等,天津大学,2826 人
深度学习框架的移动端优化,曾平 杨滔,北京旷视科技有限公司,366 人
Computer Fundamentals: Problem Solving Using Computational Think,李敏 高裴裴 等,南开大学,294 人
信息对抗技术专业方向设计,印茂伟,西南科技大学,292 人
机器阅读理解：算法与实践,朱晨光,微软,386 人
AI TIME CVPR 专场四,Unknown,Unknown,1467 人
新冠疫情地图可视化的技术实践,殷达,清华大学,285 人
信息检索与推荐系统,李琳,武汉理工大学,284 人
知识疫图——AI+大数据在新冠肺炎知识智能服务中的应用,张鹏,智谱·AI,284 人
基于图神经网络的事实验证,周界,清华大学,317 人
The 2nd TBSI Workshop on Learning Theory,Unknown,Unknown,282 人
算法训练营,邓俊辉,清华大学,273 人
Introduction to Artificial Intelligence,莫宏伟,哈尔滨工程大学,272 人
面向移动与边缘设备的人工智能系统,徐梦炜,北京大学,308 人
计算机基础及应用,张玉成 王天鑫 等,西京学院,268 人
高性能计算,Unknown,Unknown,1225 人
C语言程序设计,曹芝兰,湖北大学,262 人
AI TIME PHD - AAAI 专场二,Unknown,Unknown,1648 人
争相步入「情感计算」时代，你上车了吗？,陶建华 贾珈 等,中国科学院,363 人
AI TIME 走进厦门大学,Unknown,Unknown,2751 人
AI是否可以引领传染病诊疗的新范式？,Unknown,Unknown,1385 人
对话系统：过去、现在和未来,黄民烈,清华大学,240 人
Java Object Oriented Programming,单博炜,长安大学,239 人
深度学习训练营,胡晓林,学堂在线,230 人
Embedded Software Design,赖晓晨 刘辉 等,大连理工大学,226 人
滴滴语音技术,滴滴-科技生态与发展部,滴滴,289 人
“数据赋能”推动产业转型升级,王建民 刘江川 等,清华大学,325 人
AI TIME PHD - AAAI 专场四,Unknown,Unknown,1278 人
人工智能,杨鸿武 鲁小勇 等,西北师范大学,205 人
清华大学计算机系1996级创新创业论坛,Unknown,Unknown,220 人
时空大数据分析和挖掘实战,袁海涛,学堂在线,204 人
联邦智能和基于隐私保护的分布式机器学习,蔡超超 王昊昱,数牍科技,354 人
网络测量与管理,周禹 郑智隆 等,清华大学,447 人
非易失内存在分布式存储领域的应用,张凯,清华大学,268 人
商汤泰坦公开课模型量化专题,余锋伟 龚睿昊,商汤科技,215 人
解密旷视抗疫情AI体温产品——明骥,胡晨,清华大学,199 人
java程序设计,张青青 宁莉莉 等,咸阳职业技术学院,197 人
融合知识的预训练语言模型,张正彦,清华大学,195 人
如何学好计算机组成原理课程-「疾风计划」导师专属直播【一年挑战计算机专业】,纪禄平,学堂在线,1394 人
Brain Science and Advanced Imaging Techniques,张明,西安交通大学,190 人
复杂场景下的机器阅读理解,林衍凯,清华大学,191 人
大规模在线教育中的知识智能,于济凡,清华大学,197 人
2020高校人工智能人才培养论坛,Unknown,Unknown,1615 人
NLP应用中Transformer模型线上服务加速的业界实践,方佳瑞,清华大学,299 人
计算机视觉在地图领域的应用,滴滴-科技生态与发展部,滴滴,304 人
初探图神经网络在分子成药性估计中的应用,裘捷中,清华大学,176 人
疫情影响下求职的挑战与机遇,张杰,学堂在线,271 人
表示学习的利与弊,赵晗,伊利诺伊大学香槟分校,170 人
自监督学习在视觉场景中的研究新进展,詹晓航 李顺恺,香港中文大学,233 人
如何迈向高效深度神经网络模型架构？,Unknown,Unknown,1017 人
"CVPR2020""最佳论文""对cv领域的启发",黄高,清华大学,157 人
自动化测试及修复神经网络翻译模型,孙泽宇,北京大学,215 人
在线教学网络研讨会会议精彩回放,张莉 赵宏 等,中国农业大学,564 人
如何写好一篇论文？,Unknown,Unknown,1600 人
从梯度信噪比来理解深度学习泛化性能为什么这么好,刘锦龙,清华大学,148 人
新冠疫情中新闻学术数据的获取及分析应用,杜冀中,智谱·AI,167 人
计算机软件技术,张鹏 许欣然 等,快手,886 人
利用轨迹数据自动校准道路交叉口拓扑信息,刘国平,学堂在线,141 人
AI TIME PhD 浙江大学CAD&CG国家重点实验室专场一,Unknown,Unknown,1493 人
基于搜索日志、多维度信息的新冠肺炎风险预测,叶子逸 曾奥涵,清华大学,133 人
计算机二级C语言程序设计,张宁,学堂在线,133 人
AI分割技术在快手平台的应用,宋丛礼,清华大学,129 人
智谱新冠流行预测大赛线上颁奖&AI TIME 线上分享,李涓子 刘德兵 等,清华大学,126 人
Engineering Responsible AI,沈向洋,清华大学,171 人
任务导向型对话系统评测,高信龙一,清华大学,116 人
KdConv: 知识驱动的中文多轮对话数据集,郑楚杰,清华大学,115 人
计算机二级公共基础知识,张宁,学堂在线,114 人
MixText: Linguistically-Informed Interpolation of Hidden Space for Semi-Supervised Text Classification,陈佳奥,佐治亚理工学院,146 人
对神经网络对抗鲁棒性正则化的认识,温宇馨,华南理工大学,129 人
CVPR2020竞赛经验分享会,滴滴-科技生态与发展部,滴滴,110 人
驭风计划：培养人工智能青年人才【第二期】,张敏,学堂在线,102 人
任务导向对话的数据和平台建设,朱祺,清华大学,100 人
对话系统中的个性化回复生成与异常输入检测,郑银河,清华大学,95 人
低资源场景下的对话系统任务的模型定制,宋伊萍,北京大学,94 人
结合词典的中文命名实体识别,李孝男,复旦大学,167 人
Graph Representation Learning for Drug Discovery,史晨策,MILA,91 人
AI TIME PhD 浙江大学CAD&CG国家重点实验室专场二,Unknown,Unknown,1210 人
度量和改进图信息在图神经网络中的使用,侯逸帆,香港中文大学,90 人
AI TIME PhD ICLR专场五,Unknown,Unknown,1225 人
计算机网络基础,刘义福 易娟 等,江西省井冈山经贸学校,83 人
不止于准确性：使用CheckList为NLP模型的进行行为测试,吴彤霜,华盛顿大学,115 人
智能技术与系统,Unknown,Unknown,466 人
AI TIME PhD 哈工大HIT-SCIR实验室专场二,Unknown,Unknown,1566 人
基于神经隐变量模型的对话状态推理,闵庆凯,南京航空航天大学,92 人
Compilers Techniques,贾棋 徐秀娟 等,大连理工大学,76 人
