Country,Score
China,274.41640262775445
Cambodia,260.65789164661027
New Zealand,260.15494246337363
South Korea,258.20642381064556
Taiwan,255.20198901614378
Brunei,248.3887917523532
Bhutan,247.83010085934316
Australia,247.70979689753628
Japan,245.11311645421952
Vietnam,238.23566589612
