Country,Vaccinated Ratio
Burundi,0.03272018214289124%
Haiti,1.06206329491751%
Chad,1.6903473458593075%
Yemen,1.8256487892677884%
South Sudan,1.9967880866446928%
Niger,2.0183307212017816%
Madagascar,2.0719604740902837%
Cameroon,2.96124064322765%
Papua New Guinea,3.1134410423938563%
Tanzania,3.382199778508192%
